turn,item_id,topic_id,true_cue,predicted_cue,cue_correct,action,target_action,action_correct,state_turn,last_action,repair_count
1,test_call_0000,0,call,call,1,mirror_topic,mirror_topic,1,1,mirror_topic,0
2,test_answer_0000,0,answer,answer,1,complement_topic,complement_topic,1,2,complement_topic,0
3,test_hold_0000,0,hold,hold,1,wait,wait,1,3,wait,0
4,test_call_0001,1,call,call,1,mirror_topic,mirror_topic,1,4,mirror_topic,0
5,test_drift_0000,0,drift,drift,1,repair_topic,repair_topic,1,5,repair_topic,1
6,test_answer_0001,1,answer,answer,1,complement_topic,complement_topic,1,6,complement_topic,1
7,test_interrupt_0000,0,interrupt,interrupt,1,yield_repair,yield_repair,1,7,yield_repair,2
8,test_call_0002,2,call,call,1,mirror_topic,mirror_topic,1,8,mirror_topic,2
9,test_drift_0001,1,drift,drift,1,repair_topic,repair_topic,1,9,repair_topic,3
10,test_hold_0001,1,hold,hold,1,wait,wait,1,10,wait,3
11,test_answer_0002,2,answer,answer,1,complement_topic,complement_topic,1,11,complement_topic,3
12,test_drift_0002,2,drift,drift,1,repair_topic,repair_topic,1,12,repair_topic,4
13,test_call_0003,3,call,call,1,mirror_topic,mirror_topic,1,13,mirror_topic,4
14,test_answer_0003,3,answer,answer,1,complement_topic,complement_topic,1,14,complement_topic,4
15,test_end_0000,0,end,end,1,close,close,1,15,close,4
